module,container,tag,quantity,uncertainty,confidence,citation,doi,url,accessed,tier,basis
ae.physics.chlorination,enum,ASSUMED,85.0 joule / kelvin / mole,point,low,,,,,,"Trouton's rule, the empirical observation that the entropy of vaporization of many liquids at their normal boiling point clusters near 85 J/(mol K). An approximation, not a measurement, and known to be poor for associated vapours (AlCl3 is dimeric as Al2Cl6) and for ionic melts (NaCl, KCl, LiCl). Used only where a measured enthalpy of vaporization could not be sourced, and every value so derived is flagged in CHLORIDES."
ae.physics.chlorination,enum,SOURCED,1.0 dimensionless,point,high,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Liu et al. 2026 abstract: 'carbonaceous reductants are indispensable for enabling spontaneous chlorination of substitutional impurities such as Ti, Al, and B, while alkali metals including Na, K, and Li can be effectively removed under HCl atmosphere at moderate temperatures'. Encoded as the rule that Ti, Al and B are thermodynamically blocked when no reductant is present."
ae.physics.chlorination,TROUTON_ENTROPY,ASSUMED,85.0 joule / kelvin / mole,point,low,,,,,,"Trouton's rule, the empirical observation that the entropy of vaporization of many liquids at their normal boiling point clusters near 85 J/(mol K). An approximation, not a measurement, and known to be poor for associated vapours (AlCl3 is dimeric as Al2Cl6) and for ionic melts (NaCl, KCl, LiCl). Used only where a measured enthalpy of vaporization could not be sourced, and every value so derived is flagged in CHLORIDES."
ae.physics.chlorination,CHLORIDES,DERIVED,189.679 gram / mole,point,,,,,,,"sum of IUPAC 2021 standard atomic weights for TiCl4, as tabulated in ae.core.feedstock.MOLAR_MASS"
ae.physics.chlorination,CHLORIDES,SOURCED,136.45 degree_Celsius,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem property record, attributed there to: boiling point 136.45 degC at 760 mm Hg"
ae.physics.chlorination,CHLORIDES,SOURCED,36.2 kilojoule / mole,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,PubChem 'Heat of Vaporization' property: 36.2 kJ/mol at 136.45 degC
ae.physics.chlorination,CHLORIDES,DERIVED,133.341 gram / mole,point,,,,,,,"sum of IUPAC 2021 standard atomic weights for AlCl3, as tabulated in ae.core.feedstock.MOLAR_MASS"
ae.physics.chlorination,CHLORIDES,SOURCED,180.0 degree_Celsius,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem property record, attributed there to: boiling point 180 degC at 760 mm Hg; PubChem also records sublimation at 182.7 degC at 752 mm Hg and 'sublimes readily at 178 degC'"
ae.physics.chlorination,CHLORIDES,DERIVED,162.204 gram / mole,point,,,,,,,"sum of IUPAC 2021 standard atomic weights for FeCl3, as tabulated in ae.core.feedstock.MOLAR_MASS"
ae.physics.chlorination,CHLORIDES,SOURCED,316.0 degree_Celsius,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem property record, attributed there to: boiling point about 316 degC (decomposes); PubChem also records melting at 304 to 307.6 degC"
